Zomato URL,Name of Restaurant,Address,Location,Cuisine,Top Dishes,Price for 2,Ratings,No of Votes
https://www.zomato.com/chennai/grill-box-unlimited-bbq-mylapore,Grill Box - Unlimited BBQ," 25, Dr Radhakrishnan Salai, Near Yellow Pages Junction, Mylapore, Chennai",Mylapore,"North Indian, South Indian","Momos,Chicken Wings,Cotton Candy,Chocolate Fountain,Chocolate Dosa,Prawn,Popcorn",1200,4.6,1757
https://www.zomato.com/chennai/mezze-ra-puram,Mezze," 51, 6th Main Road, RA Puram, Chennai",RA Puram,Middle Eastern,"Baklava,Mezze,Shawarma,Pita Bread,Falafel,Fries,Peri Peri Hummus",700,4.6,1015
https://www.zomato.com/chennai/sapthagiri-tiffin-centre-t-nagar,Sapthagiri Tiffin Centre," 27/2, Sivagnanam Street, Pondy Bazaar, T. Nagar, Chennai",T. Nagar,"South Indian, Chinese","Paratha,Idli,Noodle,Masala Dosa,Podi Dosa,Vada,Paneer Fried Rice",200,4.3,1206
https://www.zomato.com/chennai/faruuzi-multicuisine-chromepet,Faruuzi Multicuisine," 407/7, GST Road, Chromepet, Chennai",Chromepet,"North Indian, Chinese, Arabian, Beverages","Brownie,Faluda,Shawarma,Butter Chicken,Stuffed Mushroom,Chicken Tikka,Chicken Grill",1000,4.1,788
https://www.zomato.com/chennai/dindigul-thalappakatti-anna-nagar-west,Dindigul Thalappakatti," AJ-213 4th Avenue, Shanthi Colony, Anna Nagar West, Chennai",Anna Nagar West,"South Indian, Biryani, Chinese, North Indian","Mutton Biryani,Paratha,Fish,Sea Food,Tandoori Chicken,Chicken Grill,Chicken Lollipop",800,4.1,825
https://www.zomato.com/chennai/coastal-aroma-seafood-restaurant-thuraipakkam,Coastal Aroma - Seafood Restaurant," 1/155A, 200 Feet Road, Thuraipakkam, Chennai",Thuraipakkam,"Seafood, North Indian, Chinese","Sea Food,Crab Soup,Prawn,Crab Lollypop,Chicken Biryani,Fish Curry,Lobster",900,4.1,575
https://www.zomato.com/chennai/burgerman-besant-nagar,BurgerMan," 31, 4th Main Road, Besant Nagar, Chennai",Besant Nagar,"Continental, Fast Food, American, Beverages","Burgers,Nachos,Chicken Burger,Thick Shakes,Choco Brownie Shake,Hot Chocolate,Lemonade",500,4.4,960
https://www.zomato.com/chennai/bombay-lassi-1-triplicane,Bombay Lassi," 8, Bahar Agan Street, Anna Salai, Ellis Road, Behind Devi Theatre, Triplicane, Chennai",Triplicane,Street Food,"Lassi,Samosa,Kachori,Jalebi,Carrot Halwa,Milk Halwa,Gulab Jamun",100,4.8,894
https://www.zomato.com/chennai/hotelkaar-biriyani-t-nagar,Hotelkaar Biriyani," 15, Natesan Street, T. Nagar, Chennai",T. Nagar,South Indian,"Biryani,Chicken 65,Pepper Chicken,Fried Rice Chicken,Chicken Chettinad",350,4,925
https://www.zomato.com/chennai/watsons-t-nagar,Watson's," 90, Gopathi Narayana Chetty Road, T. Nagar, Chennai",T. Nagar,"Asian, Continental, Finger Food, North Indian","Cocktails,Pizza,Pasta,Burgers,Draught Beer,Fish,Nachos",1000,4.2,725
https://www.zomato.com/chennai/kfc-perambur,KFC," 10, Periyar Nagar, 70 Feet Road, Near Sheeba Hospital, Perambur, Chennai",Perambur,"Burger, Fast Food",Zinger Burger,500,3.9,940
https://www.zomato.com/chennai/chianti-velachery,Chianti," Phoenix Market City, 28, Upper Ground Floor, Velachery Main Road, Velachery, Chennai","Phoenix Market City, Velachery",Italian,"Tiramisu,Pizza,Panna Cotta,Bruschettas,Pesto Pasta,Spinach Ravioli,Bruchetta",1700,4.6,487
https://www.zomato.com/chennai/cafe-de-paris-teynampet,Cafe De Paris," 24, Cenotaph Road, Opposite Lanson Toyota, Teynampet, Chennai",Foodies Kitchen,"Cafe, Beverages, Desserts, Italian","Pizza,Fries,Cutting Chai,Burgers,Nachos,Pink Pasta,Broccoli Cheddar Soup",900,4.4,809
https://www.zomato.com/chennai/27-culinary-street-mylapore,27 Culinary Street," 27/28, Dr. Radhakrishnan Salai, Dwarka Colony, Above Syndicate Bank, Mylapore, Chennai",Mylapore,"Chinese, South Indian, North Indian, Mongolian","Chocolate Pani Puri,Momos,Pasta,Prawn,Panipuri,Chicken Wings,Chaat",1300,4.4,1289
https://www.zomato.com/chennai/pantry-dor-anna-nagar-east,Pantry d'or," 21/11, J Block, 6th Avenue Main Road, Anna Nagar East, Chennai",Anna Nagar East,"Continental, Cafe, Italian, Desserts, Salad","Pizza,Pasta,Hot Chocolate,Pancakes,Sandwich,Burgers,Cheesecake",750,4.4,2421
https://www.zomato.com/chennai/asia-kitchen-by-mainland-china-nungambakkam,Asia Kitchen by Mainland China," 11, The Spring Hotel, , Kodambakkam High Road, Nungambakkam, Chennai 600034.","The Spring Hotel, Nungambakkam","Chinese, Asian, Momos","Dumplings,Fish,Mocktails,Treasure Soup,Sushi,Khau Suey,Crispy Lamb",1500,4.6,812
